epoch,train_mse,test_mse
1,1.4744,7.3834
2,1.4458,7.3973
3,1.4421,7.4007
4,1.4283,7.1685
5,1.4199,7.2166
6,1.417,7.1721
7,1.4134,7.1963
8,1.4134,7.2241
9,1.4117,7.2155
10,1.4104,7.257
11,1.407,7.2108
12,1.3972,7.1316
13,1.3883,7.1028
14,1.3873,7.1418
15,1.3873,7.1663
16,1.3883,7.1867
17,1.3893,7.207
18,1.3887,7.2062
19,1.3861,7.1658
20,1.3834,7.1602
21,1.3816,7.1594
22,1.38,7.1064
23,1.3773,7.112
24,1.3755,7.0716
25,1.3738,7.0777
26,1.3756,7.1011
27,1.3722,6.9655
28,1.3694,7.0095
29,1.3682,7.0349
30,1.3675,7.0469
31,1.3673,7.0814
32,1.3668,7.0461
33,1.3664,7.0452
34,1.3666,7.0463
35,1.3669,7.0753
36,1.3666,7.0162
37,1.3655,7.0808
38,1.3669,7.116
39,1.3651,7.0657
40,1.3619,7.0673
41,1.3599,7.0392
42,1.3583,7.0253
43,1.3589,6.9816
44,1.3593,6.9988
45,1.3594,7.036
46,1.356,6.9615
47,1.3532,7.0016
48,1.3558,6.9846
49,1.3575,6.9773
50,1.3586,6.9958
51,1.3556,6.9054
52,1.3532,6.9431
53,1.3545,6.9615
54,1.3566,6.9975
55,1.3582,7.0236
56,1.3596,7.0505
57,1.3602,7.0323
58,1.3591,7.088
59,1.3548,7.034
60,1.3542,7.0529
61,1.3555,7.0783
62,1.3556,7.0799
63,1.355,7.0562
64,1.3521,7.0259
65,1.3522,7.0633
66,1.3531,7.0251
67,1.3519,7.0306
68,1.349,6.9599
69,1.3493,6.9589
70,1.3516,7.0141
71,1.3534,7.0019
72,1.3534,7.0238
73,1.3537,7.0196
74,1.3539,7.037
75,1.3539,7.0743
76,1.3552,7.1239
77,1.3557,7.0374
78,1.3559,7.0904
79,1.3567,7.0839
80,1.3554,7.029
81,1.3478,6.8493
82,1.3469,6.9128
83,1.3481,6.9111
84,1.3498,6.945
85,1.3517,6.9825
86,1.3526,6.9992
87,1.3517,7.0395
88,1.3501,6.998
89,1.3508,7.0419
90,1.3493,6.9989
91,1.3482,7.0185
92,1.3508,7.0687
93,1.3522,7.0567
94,1.3509,7.0052
95,1.3477,6.9765
96,1.3484,7.0318
97,1.3513,7.0577
98,1.3508,6.9983
99,1.3485,6.995
100,1.3505,7.0238
101,1.352,7.052
102,1.3517,6.9872
103,1.3481,6.9433
104,1.3464,6.9765
105,1.3475,7.0269
106,1.3496,7.0587
107,1.3518,7.084
108,1.3517,7.0266
109,1.352,7.0635
110,1.3536,7.0678
111,1.3536,7.0575
112,1.3534,7.0951
113,1.3526,7.0531
114,1.3522,7.0929
115,1.3491,7.0014
116,1.3481,7.0215
117,1.3474,7.0025
118,1.3479,7.0496
119,1.3509,7.0479
120,1.3526,7.0444
121,1.3534,7.0581
122,1.3529,7.0493
123,1.352,7.0598
124,1.3535,7.0153
125,1.3539,7.0274
126,1.3529,7.0009
127,1.3525,7.0395
128,1.3523,7.0557
