epoch,train_mse,test_mse
1,1.7185,7.5902
2,1.6882,7.5508
3,1.6722,7.5049
4,1.6576,7.3241
5,1.6444,7.304
6,1.636,7.2865
7,1.6299,7.2992
8,1.6265,7.306
9,1.6189,7.2323
10,1.613,7.2494
11,1.6108,7.2379
12,1.6048,7.1654
13,1.6012,7.1847
14,1.5991,7.1412
15,1.5953,7.137
16,1.5912,7.0723
17,1.589,7.1105
18,1.5899,7.1379
19,1.5868,7.1437
20,1.5819,7.1721
21,1.5817,7.1889
22,1.5811,7.209
23,1.5705,7.0607
24,1.5667,7.0857
25,1.5694,7.1171
26,1.5685,7.0735
27,1.5672,7.1075
28,1.5693,7.134
29,1.5687,7.0563
30,1.567,7.0722
31,1.5658,7.0214
32,1.5636,7.002
33,1.5606,7.0117
34,1.5596,7.0118
35,1.56,7.0085
36,1.5579,6.9501
37,1.5562,6.9252
38,1.5562,6.9721
39,1.5587,7.0365
40,1.5604,7.0689
41,1.5601,7.0185
42,1.5593,7.0548
43,1.5593,7.0468
44,1.5601,7.0756
45,1.5609,7.0866
46,1.5607,7.0845
47,1.5596,7.0486
48,1.56,7.0993
49,1.5585,7.056
50,1.5554,7.0384
51,1.5516,7.0371
52,1.5502,7.0404
53,1.5516,7.0755
54,1.553,7.0775
55,1.553,7.0698
56,1.5532,7.0434
57,1.554,7.0607
58,1.5556,7.0858
59,1.5511,6.9483
60,1.5455,6.9293
61,1.5464,6.9771
62,1.5478,6.955
63,1.5479,6.955
64,1.5483,7.0168
65,1.5494,6.9986
66,1.5483,6.9336
67,1.5483,6.9555
68,1.5472,6.9326
69,1.5467,6.9188
70,1.5493,6.9627
71,1.5501,6.9172
72,1.5507,6.9548
73,1.553,6.9752
74,1.5522,6.9843
75,1.5514,6.9835
76,1.5492,6.9486
77,1.5508,6.981
78,1.5513,7.0013
79,1.5501,6.9424
80,1.5497,6.9499
81,1.551,6.9697
82,1.5517,6.9996
83,1.5519,6.9849
84,1.5505,6.9637
85,1.5504,7.0071
86,1.5497,7.0123
87,1.5464,6.9788
88,1.547,6.9924
89,1.5488,7.0188
90,1.5505,7.0377
91,1.5507,7.0428
92,1.5505,7.0295
93,1.5494,6.9895
94,1.5495,7.0183
95,1.5479,6.9692
96,1.5471,6.9929
97,1.5477,6.9836
98,1.5495,7.012
99,1.5503,7.027
100,1.5502,7.005
101,1.5467,6.9663
102,1.5465,7.0049
103,1.5474,7.0379
104,1.5478,7.0372
105,1.5481,7.0475
106,1.5453,6.9595
107,1.5448,6.986
108,1.5447,6.9691
109,1.5413,6.8969
110,1.5413,6.934
111,1.5412,6.8658
112,1.5413,6.8864
113,1.5405,6.8823
114,1.5411,6.9493
115,1.5392,6.9213
116,1.5386,6.9085
117,1.5388,6.9381
118,1.5402,6.8846
119,1.5415,6.8931
120,1.5438,6.9289
121,1.5458,6.9673
122,1.5466,6.9964
123,1.5441,6.9392
124,1.5452,6.9988
125,1.5466,7.0004
126,1.5468,6.9985
127,1.5447,6.965
128,1.5427,6.926
