privacy_mode,epoch,train_mse,test_mse
Nonprivate,1,0.6492,8.1851
Nonprivate,2,0.6492,8.1851
Nonprivate,3,0.6492,8.1851
Nonprivate,4,0.6492,8.1851
Nonprivate,5,0.6492,8.1851
Nonprivate,6,0.6492,8.1851
Nonprivate,7,0.6492,8.1851
Nonprivate,8,0.6492,8.1851
Nonprivate,9,0.6492,8.1851
Nonprivate,10,0.6492,8.1851
Nonprivate,11,0.6492,8.1851
Nonprivate,12,0.6492,8.1851
Nonprivate,13,0.6491,8.185
Nonprivate,14,0.6485,8.1841
Nonprivate,15,0.6474,8.1812
Nonprivate,16,0.6459,8.1755
Nonprivate,17,0.6445,8.1653
Nonprivate,18,0.6428,8.1492
Nonprivate,19,0.6411,8.1296
Nonprivate,20,0.6395,8.1081
Nonprivate,21,0.6379,8.085
Nonprivate,22,0.6364,8.0588
Nonprivate,23,0.6351,8.0311
Nonprivate,24,0.6343,7.9992
Nonprivate,25,0.6348,7.9679
Nonprivate,26,0.6363,7.9325
Nonprivate,27,0.6386,7.9169
Nonprivate,28,0.644,7.8889
Nonprivate,29,0.6523,7.8694
Nonprivate,30,0.6636,7.8429
Nonprivate,31,0.6794,7.8563
Nonprivate,32,0.6964,7.8585
Nonprivate,33,0.7172,7.8532
Nonprivate,34,0.7384,7.8502
Nonprivate,35,0.7599,7.8102
Nonprivate,36,0.7854,7.8733
Nonprivate,37,0.8077,7.9275
Nonprivate,38,0.8292,7.8814
Nonprivate,39,0.8524,7.8861
Nonprivate,40,0.8769,7.881
Nonprivate,41,0.8932,7.9208
Nonprivate,42,0.9017,7.9321
Nonprivate,43,0.9156,7.8947
Nonprivate,44,0.9205,7.9211
Nonprivate,45,0.9247,7.9771
Nonprivate,46,0.9283,7.9556
Nonprivate,47,0.9241,8.0028
Nonprivate,48,0.9225,8.0159
Nonprivate,49,0.9244,7.9599
Nonprivate,50,0.9256,7.9556
Nonprivate,51,0.9242,7.9889
Nonprivate,52,0.9257,8.0301
Nonprivate,53,0.9144,7.947
Nonprivate,54,0.9228,7.9983
Private,0,0.9001,7.9864
Private,1,0.893,7.9877
Private,2,0.8958,7.9709
Private,3,0.8924,7.9599
Private,4,0.8964,7.9652
Private,5,0.898,8.0341
Private,6,0.8968,7.9281
Private,7,0.8989,7.9732
Private,8,0.9031,7.956
Private,9,0.9014,7.9745
Private,10,0.9,7.9825
Private,11,0.9016,7.9533
Private,12,0.9069,7.9467
Private,13,0.9075,8.0007
Private,14,0.9005,7.9758
Private,15,0.9045,7.9434
Private,16,0.9057,7.9666
Private,17,0.9071,7.9877
Private,18,0.9098,8.0103
Private,19,0.909,7.9864
Private,20,0.9056,7.9499
Private,21,0.9075,7.9573
Private,22,0.9011,7.9215
Private,23,0.9036,7.952
Private,24,0.9111,7.9719
Private,25,0.9119,7.9652
Private,26,0.9062,7.9281
Private,27,0.9145,7.9188
Private,28,0.9119,7.9573
Private,29,0.9123,8.0077
Private,30,0.9139,7.9387
Private,31,0.9129,7.9652
Private,32,0.9182,7.9652
Private,33,0.9127,7.9957
Private,34,0.9171,7.9454
Private,35,0.9156,7.9189
Private,36,0.9136,8.0169
Private,37,0.92,7.9255
Private,38,0.9215,7.952
Private,39,0.9161,7.9806
Private,40,0.9201,7.9295
Private,41,0.9205,7.903
Private,42,0.9185,7.9507
Private,43,0.9195,7.8911
Private,44,0.9167,8.0017
Private,45,0.9151,7.9427
Private,46,0.9202,7.9732
Private,47,0.9237,7.948
Private,48,0.9147,7.9613
Private,49,0.9184,7.9123
Private,50,0.9205,7.9811
Private,51,0.9121,7.9573
Private,52,0.9238,7.8738
Private,53,0.9154,7.9533
