privacy_mode,epoch,train_mse,test_mse
Nonprivate,1,1.7178,8.1281
Nonprivate,2,1.5798,7.782
Nonprivate,3,0.652,5.0254
Nonprivate,4,0.2718,3.4083
Nonprivate,5,0.1805,2.562
Nonprivate,6,0.1458,2.0725
Nonprivate,7,0.1289,1.7676
Nonprivate,8,0.1195,1.5635
Nonprivate,9,0.1137,1.4288
Nonprivate,10,0.1098,1.3284
Nonprivate,11,0.107,1.2633
Nonprivate,12,0.1049,1.2118
Nonprivate,13,0.1033,1.1776
Nonprivate,14,0.102,1.1481
Nonprivate,15,0.1008,1.1234
Nonprivate,16,0.0998,1.107
Nonprivate,17,0.0989,1.0908
Nonprivate,18,0.0981,1.0775
Nonprivate,19,0.0973,1.0676
Nonprivate,20,0.0966,1.0606
Nonprivate,21,0.0959,1.0504
Nonprivate,22,0.0952,1.0429
Nonprivate,23,0.0946,1.0374
Nonprivate,24,0.094,1.031
Nonprivate,25,0.0934,1.0247
Nonprivate,26,0.0928,1.0203
Nonprivate,27,0.0922,1.0172
Nonprivate,28,0.0916,1.0125
Nonprivate,29,0.0911,1.0061
Nonprivate,30,0.0905,1.0046
Nonprivate,31,0.09,1.0012
Nonprivate,32,0.0894,0.9961
Nonprivate,33,0.0889,0.9949
Nonprivate,34,0.0884,0.99
Nonprivate,35,0.0879,0.9876
Nonprivate,36,0.0874,0.9851
Nonprivate,37,0.0869,0.9847
Nonprivate,38,0.0865,0.9814
Nonprivate,39,0.086,0.9782
Nonprivate,40,0.0856,0.9742
Nonprivate,41,0.0852,0.9739
Nonprivate,42,0.0847,0.9722
Nonprivate,43,0.0843,0.9693
Nonprivate,44,0.0839,0.9666
Nonprivate,45,0.0835,0.9661
Nonprivate,46,0.0832,0.9629
Nonprivate,47,0.0828,0.9612
Nonprivate,48,0.0825,0.9595
Nonprivate,49,0.0822,0.9574
Nonprivate,50,0.0819,0.9534
Nonprivate,51,0.0815,0.9525
Nonprivate,52,0.0813,0.9513
Nonprivate,53,0.081,0.9495
Nonprivate,54,0.0807,0.9478
Private,1,0.0805,0.9986
Private,2,0.0814,1.027
Private,3,0.082,1.0427
Private,4,0.0825,1.0548
Private,5,0.0829,1.0817
Private,6,0.0833,1.094
Private,7,0.0838,1.1036
Private,8,0.084,1.1138
Private,9,0.0844,1.1354
Private,10,0.0845,1.122
Private,11,0.0845,1.1231
Private,12,0.0847,1.124
Private,13,0.0847,1.124
Private,14,0.0848,1.1191
Private,15,0.0849,1.1262
Private,16,0.085,1.1281
Private,17,0.0852,1.1303
Private,18,0.0852,1.1313
Private,19,0.0853,1.1345
Private,20,0.0853,1.1511
Private,21,0.0854,1.1401
Private,22,0.0854,1.1379
Private,23,0.0855,1.1377
Private,24,0.0855,1.1443
Private,25,0.0856,1.1326
Private,26,0.0859,1.133
Private,27,0.0859,1.1421
Private,28,0.0858,1.1496
Private,29,0.0858,1.1513
Private,30,0.0859,1.1478
Private,31,0.0858,1.1419
Private,32,0.0859,1.143
Private,33,0.086,1.1386
Private,34,0.0859,1.1243
Private,35,0.086,1.142
Private,36,0.0859,1.1398
Private,37,0.0858,1.1422
Private,38,0.0856,1.1455
Private,39,0.0855,1.1704
Private,40,0.0857,1.1608
Private,41,0.0857,1.165
Private,42,0.0856,1.1403
Private,43,0.0856,1.1424
Private,44,0.0857,1.1603
Private,45,0.0857,1.1524
Private,46,0.0856,1.1493
Private,47,0.0856,1.1431
Private,48,0.0856,1.1487
Private,49,0.0857,1.1549
Private,50,0.0857,1.1604
Private,51,0.0857,1.1667
Private,52,0.0858,1.1463
Private,53,0.0858,1.1598
Private,54,0.086,1.1578
