epoch,train_mae,test_mae,train_mse,test_mse
1,1.7406,1.0562,4.5778,1.7948
2,0.7646,0.8154,0.9637,1.0729
3,0.7244,0.7811,0.8528,0.9823
4,0.7066,0.7683,0.8115,0.9465
5,0.6952,0.7572,0.7865,0.9227
6,0.687,0.7491,0.7693,0.9069
7,0.6808,0.7439,0.7571,0.8956
8,0.6761,0.7347,0.7472,0.877
9,0.6725,0.7332,0.7399,0.8721
10,0.6696,0.7326,0.7342,0.8757
11,0.6675,0.7313,0.73,0.8683
12,0.653,0.7226,0.6974,0.85
13,0.6508,0.7222,0.6924,0.8482
14,0.6504,0.7219,0.6914,0.8468
15,0.6499,0.7218,0.6905,0.8467
16,0.6496,0.7205,0.6899,0.8437
17,0.6494,0.7214,0.6892,0.8462
18,0.6491,0.7208,0.6886,0.8452
19,0.6488,0.7203,0.688,0.8439
20,0.6485,0.72,0.6875,0.8434
21,0.6481,0.7194,0.6868,0.8421
22,0.648,0.7192,0.6864,0.8406
23,0.6477,0.7186,0.6859,0.8395
24,0.6475,0.7192,0.6853,0.841
25,0.6473,0.7187,0.685,0.84
26,0.647,0.718,0.6845,0.8397
27,0.6468,0.718,0.6841,0.8399
28,0.6466,0.7179,0.6837,0.8387
29,0.6464,0.7174,0.6833,0.8378
30,0.6462,0.7173,0.6829,0.8379
31,0.646,0.7171,0.6825,0.838
32,0.6422,0.7169,0.6745,0.8371
33,0.6418,0.7168,0.6736,0.8367
34,0.6417,0.7168,0.6733,0.8366
35,0.6417,0.7168,0.6732,0.8365
36,0.6416,0.7168,0.6731,0.8364
37,0.6416,0.7169,0.673,0.8364
38,0.6415,0.7169,0.6729,0.8365
39,0.6415,0.7169,0.6729,0.8364
40,0.6415,0.7169,0.6728,0.8364
41,0.6415,0.7169,0.6728,0.8364
42,0.6415,0.7169,0.6728,0.8365
43,0.6414,0.717,0.6727,0.8365
44,0.6414,0.717,0.6727,0.8364
45,0.6414,0.7169,0.6727,0.8364
46,0.6414,0.7169,0.6726,0.8365
47,0.6414,0.7169,0.6726,0.8365
48,0.6414,0.717,0.6725,0.8365
49,0.6413,0.717,0.6725,0.8365
50,0.6413,0.717,0.6725,0.8364
51,0.6413,0.717,0.6724,0.8364
52,0.6413,0.7169,0.6724,0.8363
53,0.6413,0.7169,0.6724,0.8363
54,0.6413,0.717,0.6723,0.8363
55,0.6413,0.7169,0.6723,0.8363
56,0.6412,0.7169,0.6723,0.8363
57,0.6412,0.7169,0.6722,0.8363
58,0.6412,0.7169,0.6722,0.8363
59,0.6412,0.7169,0.6722,0.8363
60,0.6412,0.7169,0.6721,0.8363
