epoch,train_mae,test_mae
1,2.5814,2.6121
2,2.5814,2.6121
3,2.5814,2.6121
4,2.5814,2.6121
5,2.5814,2.6121
6,2.5814,2.6121
7,2.5814,2.6121
8,2.5814,2.6121
9,2.5814,2.6121
10,2.5814,2.6121
11,2.5814,2.6121
12,2.5814,2.6121
13,2.5814,2.6121
14,2.5814,2.6121
15,2.5811,2.6121
16,2.5766,2.6103
17,2.5464,2.5985
18,2.4501,2.5623
19,2.276,2.4938
20,2.0664,2.4031
21,1.869,2.3026
22,1.7026,2.2021
23,1.567,2.1045
24,1.4567,2.0131
25,1.3659,1.9294
26,1.29,1.8522
27,1.226,1.7808
28,1.1715,1.715
29,1.1246,1.6542
30,1.0843,1.5979
31,1.0492,1.546
32,1.0187,1.4976
33,0.9919,1.4526
34,0.9683,1.4108
35,0.9475,1.3721
36,0.929,1.3365
37,0.9126,1.3036
38,0.8979,1.2734
39,0.8847,1.2454
40,0.8728,1.2192
41,0.862,1.1947
42,0.8523,1.1719
43,0.8434,1.1504
44,0.8353,1.1303
45,0.8279,1.1114
46,0.8211,1.0939
47,0.8149,1.0775
48,0.8091,1.0622
49,0.8038,1.0479
50,0.7989,1.0343
51,0.7944,1.0216
52,0.7901,1.0096
53,0.7861,0.9984
54,0.7825,0.9878
55,0.779,0.9779
56,0.7758,0.9687
57,0.7728,0.9599
58,0.7699,0.9517
59,0.7673,0.9439
60,0.7648,0.9365
61,0.7624,0.9296
62,0.7602,0.923
63,0.7581,0.9168
64,0.7561,0.9108
65,0.7542,0.9052
66,0.7524,0.8998
67,0.7507,0.8946
68,0.7491,0.8897
69,0.7475,0.885
70,0.746,0.8806
71,0.7447,0.8764
72,0.7433,0.8724
73,0.742,0.8686
74,0.7408,0.865
75,0.7396,0.8614
76,0.7385,0.8581
77,0.7374,0.855
78,0.7364,0.852
79,0.7354,0.8493
80,0.7344,0.8465
81,0.7335,0.8439
82,0.7326,0.8415
83,0.7317,0.8391
84,0.7308,0.8368
85,0.73,0.8347
86,0.7292,0.8326
87,0.7284,0.8306
88,0.7277,0.8286
89,0.727,0.8268
90,0.7262,0.825
91,0.7256,0.8234
92,0.7249,0.8218
93,0.7242,0.8202
94,0.7236,0.8187
95,0.723,0.8172
96,0.7223,0.8158
97,0.7218,0.8145
98,0.7212,0.8131
99,0.7206,0.8119
100,0.72,0.8107
101,0.7194,0.8095
102,0.7189,0.8083
103,0.7184,0.8072
104,0.7178,0.8061
105,0.7173,0.8051
106,0.7168,0.804
107,0.7163,0.803
108,0.7158,0.802
109,0.7152,0.8011
110,0.7148,0.8002
111,0.7142,0.7993
112,0.7137,0.7984
113,0.7132,0.7976
114,0.7128,0.7968
115,0.7123,0.796
116,0.7118,0.7952
117,0.7113,0.7944
118,0.7109,0.7938
119,0.7104,0.7931
120,0.7099,0.7924
121,0.7095,0.7917
122,0.709,0.791
123,0.7085,0.7904
124,0.7081,0.7898
125,0.7076,0.7892
126,0.7072,0.7886
127,0.7067,0.788
128,0.7062,0.7875
129,0.7058,0.7869
130,0.7054,0.7863
131,0.7049,0.7858
132,0.7045,0.7853
133,0.704,0.7848
134,0.7036,0.7843
135,0.7032,0.7838
136,0.7027,0.7834
137,0.7023,0.7829
138,0.7018,0.7824
139,0.7014,0.7819
140,0.701,0.7815
141,0.7006,0.7811
142,0.7001,0.7807
143,0.6997,0.7802
144,0.6993,0.7797
145,0.6989,0.7793
146,0.6984,0.7789
147,0.6981,0.7785
148,0.6976,0.7782
149,0.6972,0.7777
150,0.6968,0.7773
151,0.6964,0.777
152,0.696,0.7766
153,0.6956,0.7762
154,0.6952,0.7759
155,0.6948,0.7755
156,0.6944,0.7752
157,0.694,0.7748
158,0.6935,0.7745
159,0.6932,0.7741
160,0.6928,0.7738
161,0.6924,0.7735
162,0.692,0.7732
163,0.6916,0.7728
164,0.6912,0.7725
165,0.6908,0.7722
166,0.6904,0.7719
167,0.6901,0.7716
168,0.6897,0.7713
169,0.6893,0.771
170,0.6889,0.7707
171,0.6885,0.7704
172,0.6882,0.7701
173,0.6878,0.7698
174,0.6874,0.7695
175,0.687,0.7692
176,0.6867,0.7689
177,0.6863,0.7687
178,0.686,0.7684
179,0.6856,0.7681
180,0.6852,0.7678
181,0.6849,0.7676
182,0.6845,0.7673
183,0.6841,0.7671
184,0.6838,0.7668
185,0.6835,0.7665
186,0.6831,0.7662
187,0.6827,0.766
188,0.6824,0.7657
189,0.6821,0.7655
190,0.6817,0.7652
191,0.6814,0.765
192,0.681,0.7647
193,0.6807,0.7645
194,0.6803,0.7643
195,0.68,0.764
196,0.6797,0.7638
197,0.6793,0.7635
198,0.679,0.7633
199,0.6786,0.763
200,0.6783,0.7628
201,0.678,0.7625
202,0.6777,0.7623
203,0.6773,0.7621
204,0.677,0.7618
205,0.6767,0.7616
206,0.6764,0.7614
207,0.676,0.7611
208,0.6757,0.7608
209,0.6754,0.7606
210,0.6751,0.7604
211,0.6748,0.7602
212,0.6745,0.76
213,0.6741,0.7597
214,0.6739,0.7595
215,0.6735,0.7593
216,0.6732,0.759
217,0.6729,0.7588
218,0.6726,0.7586
219,0.6723,0.7583
220,0.672,0.7581
221,0.6717,0.7579
222,0.6714,0.7577
223,0.6711,0.7575
224,0.6708,0.7573
225,0.6705,0.757
226,0.6702,0.7568
227,0.6699,0.7566
228,0.6696,0.7564
229,0.6693,0.7562
230,0.669,0.756
231,0.6687,0.7558
232,0.6684,0.7556
233,0.6681,0.7554
234,0.6679,0.7552
235,0.6676,0.755
236,0.6673,0.7548
237,0.667,0.7546
238,0.6667,0.7544
239,0.6664,0.7542
240,0.6662,0.754
241,0.6659,0.7538
242,0.6656,0.7536
243,0.6653,0.7534
244,0.6651,0.7532
245,0.6648,0.753
246,0.6645,0.7529
247,0.6642,0.7527
248,0.664,0.7525
249,0.6637,0.7523
250,0.6634,0.7522
251,0.6632,0.7519
252,0.6629,0.7518
