epoch,train_mse,test_mse
1,8.0462,8.1819
2,8.0451,8.1821
3,8.0438,8.1797
4,8.0411,8.1752
5,8.0361,8.1697
6,8.0314,8.1666
7,8.0268,8.1642
8,8.0217,8.1598
9,8.0132,8.1565
10,8.0023,8.1528
11,7.9952,8.1501
12,7.9842,8.1412
13,7.9697,8.1346
14,7.9598,8.1325
15,7.9485,8.1272
16,7.9372,8.1201
17,7.9292,8.1145
18,7.9151,8.1112
19,7.9027,8.1073
20,7.8929,8.1023
21,7.8828,8.0983
22,7.87,8.0912
23,7.8526,8.0839
24,7.8387,8.0785
25,7.8247,8.0733
26,7.8112,8.0677
27,7.7935,8.0498
28,7.7691,8.0397
29,7.7497,8.0311
30,7.7366,8.0228
31,7.722,8.0174
32,7.7108,8.012
33,7.7009,8.0057
34,7.6756,7.9788
35,7.6501,7.9734
36,7.6389,7.9651
37,7.6245,7.9545
38,7.6148,7.9508
39,7.6057,7.9463
40,7.5907,7.9346
41,7.5804,7.9278
42,7.569,7.9196
43,7.5587,7.9124
44,7.5464,7.9073
45,7.5359,7.905
46,7.5255,7.8986
47,7.5106,7.8868
48,7.4936,7.8821
49,7.4862,7.8779
50,7.4761,7.8695
51,7.4671,7.8635
52,7.4585,7.8599
53,7.4503,7.8558
54,7.4426,7.8525
55,7.4363,7.8492
56,7.4259,7.8336
57,7.4107,7.8268
58,7.3998,7.8266
59,7.39,7.8218
60,7.3754,7.8138
61,7.3642,7.8006
62,7.3539,7.7953
63,7.3449,7.7901
64,7.3374,7.7846
65,7.3257,7.7765
66,7.3175,7.7729
67,7.3102,7.7709
68,7.3051,7.767
69,7.299,7.7592
70,7.2921,7.7553
71,7.2826,7.7482
72,7.2717,7.7412
73,7.265,7.7367
74,7.2585,7.7324
75,7.25,7.7229
76,7.2426,7.7207
77,7.2378,7.716
78,7.2315,7.7106
79,7.2231,7.7042
80,7.2136,7.6933
81,7.2035,7.6918
82,7.1995,7.6905
83,7.1865,7.6836
84,7.1727,7.6759
85,7.1709,7.6668
86,7.167,7.6606
87,7.1599,7.6414
88,7.1491,7.6384
89,7.1425,7.63
90,7.1305,7.6157
91,7.117,7.6106
92,7.112,7.6028
93,7.1071,7.6009
94,7.1014,7.596
95,7.0944,7.5961
96,7.0913,7.5951
97,7.0851,7.5873
98,7.0798,7.5858
99,7.0741,7.5852
100,7.0709,7.5794
101,7.063,7.568
102,7.0572,7.5668
103,7.0527,7.5708
104,7.0493,7.5658
105,7.0457,7.5638
106,7.0439,7.5586
107,7.0384,7.5577
108,7.0357,7.5569
109,7.0264,7.5456
110,7.0187,7.5446
111,7.0165,7.5374
112,7.0128,7.5314
113,7.0066,7.5301
114,7.0014,7.5275
115,6.9996,7.5281
116,6.998,7.5263
117,6.9942,7.5106
118,6.9839,7.5073
119,6.9789,7.5076
120,6.9782,7.5062
121,6.9767,7.5067
122,6.9758,7.5023
123,6.9707,7.4984
124,6.9625,7.4919
125,6.9559,7.4819
126,6.9476,7.4826
127,6.9438,7.4832
128,6.9411,7.4782
