privacy_mode,epoch,train_mse,test_mse
Nonprivate,1,7.9135,8.1851
Nonprivate,2,7.9135,8.1851
Nonprivate,3,7.9135,8.1851
Nonprivate,4,7.9078,8.1829
Nonprivate,5,6.8729,7.3316
Nonprivate,6,4.0523,5.5776
Nonprivate,7,2.5893,4.3391
Nonprivate,8,1.9131,3.514
Nonprivate,9,1.5481,2.9417
Nonprivate,10,1.3319,2.5412
Nonprivate,11,1.1942,2.2451
Nonprivate,12,1.1011,2.0257
Nonprivate,13,1.0348,1.8573
Nonprivate,14,0.9855,1.7252
Nonprivate,15,0.9472,1.6223
Nonprivate,16,0.917,1.5402
Nonprivate,17,0.8918,1.4712
Nonprivate,18,0.871,1.4169
Nonprivate,19,0.8532,1.3719
Nonprivate,20,0.8376,1.3349
Nonprivate,21,0.8235,1.303
Nonprivate,22,0.8109,1.2765
Nonprivate,23,0.7994,1.2523
Nonprivate,24,0.7887,1.2329
Nonprivate,25,0.7787,1.216
Nonprivate,26,0.7691,1.2033
Nonprivate,27,0.7601,1.1908
Nonprivate,28,0.7513,1.1806
Nonprivate,29,0.743,1.1725
Nonprivate,30,0.7351,1.1625
Nonprivate,31,0.7275,1.1558
Nonprivate,32,0.7202,1.1489
Nonprivate,33,0.7129,1.1441
Nonprivate,34,0.7062,1.1387
Nonprivate,35,0.6994,1.1351
Nonprivate,36,0.693,1.1317
Nonprivate,37,0.6869,1.1301
Nonprivate,38,0.6808,1.1276
Nonprivate,39,0.6751,1.1238
Nonprivate,40,0.6695,1.1226
Nonprivate,41,0.664,1.1217
Nonprivate,42,0.6588,1.1211
Nonprivate,43,0.6537,1.1195
Nonprivate,44,0.6488,1.1191
Nonprivate,45,0.6441,1.118
Nonprivate,46,0.6395,1.1171
Nonprivate,47,0.635,1.1166
Nonprivate,48,0.6307,1.1182
Nonprivate,49,0.6265,1.1169
Nonprivate,50,0.6225,1.118
Nonprivate,51,0.6185,1.1177
Nonprivate,52,0.6147,1.117
Nonprivate,53,0.6111,1.1176
Nonprivate,54,0.6074,1.118
Private,1,0.9877,1.5696
Private,2,1.3305,1.7639
Private,3,1.4928,1.8874
Private,4,1.5863,1.9492
Private,5,1.6439,1.9507
Private,6,1.7158,2.0161
Private,7,1.7789,2.1012
Private,8,1.8159,2.1087
Private,9,1.8735,2.1606
Private,10,1.9142,2.1884
Private,11,1.957,2.2059
Private,12,1.9816,2.2136
Private,13,2.0239,2.3046
Private,14,2.0436,2.2996
Private,15,2.0478,2.2385
Private,16,2.0655,2.2566
Private,17,2.0821,2.2919
Private,18,2.115,2.2965
Private,19,2.1053,2.3447
Private,20,2.1084,2.3372
Private,21,2.1351,2.3237
Private,22,2.1347,2.3287
Private,23,2.1525,2.3861
Private,24,2.1675,2.3257
Private,25,2.1646,2.3327
Private,26,2.1783,2.3778
Private,27,2.1852,2.3679
Private,28,2.1898,2.3529
Private,29,2.1929,2.3904
Private,30,2.2095,2.4055
Private,31,2.2237,2.4217
Private,32,2.2354,2.3892
Private,33,2.2428,2.4132
Private,34,2.2269,2.4382
Private,35,2.2328,2.4368
Private,36,2.2426,2.4543
Private,37,2.245,2.4177
Private,38,2.2445,2.4375
Private,39,2.2556,2.4569
Private,40,2.246,2.436
Private,41,2.2535,2.456
Private,42,2.2684,2.5332
Private,43,2.2741,2.5509
Private,44,2.2821,2.5022
Private,45,2.2658,2.4903
Private,46,2.247,2.5238
Private,47,2.2771,2.4919
Private,48,2.2798,2.4942
Private,49,2.2827,2.5453
Private,50,2.2874,2.5422
Private,51,2.3044,2.5887
Private,52,2.3031,2.5618
Private,53,2.3119,2.5326
Private,54,2.3026,2.5253
