privacy_mode,epoch,mse
Nonprivate,0,14.41264116
Nonprivate,0,14.411424
Nonprivate,1,14.380902
Nonprivate,2,13.758127
Nonprivate,3,9.9576
Nonprivate,4,6.554185
Nonprivate,5,4.74329
Nonprivate,6,3.6984
Nonprivate,7,3.041441
Nonprivate,8,2.601326
Nonprivate,9,2.292049
Nonprivate,10,2.064325
Nonprivate,11,1.893481
Nonprivate,12,1.76341
Nonprivate,13,1.663095
Nonprivate,14,1.580415
Nonprivate,15,1.514789
Nonprivate,16,1.463027
Nonprivate,17,1.41821
Nonprivate,18,1.382218
Nonprivate,19,1.348874
Nonprivate,20,1.324111
Nonprivate,21,1.302279
Nonprivate,22,1.283847
Nonprivate,23,1.265384
Nonprivate,24,1.250618
Nonprivate,25,1.238629
Nonprivate,26,1.226932
Nonprivate,27,1.218614
Nonprivate,28,1.209118
Nonprivate,29,1.201741
Nonprivate,30,1.195741
Nonprivate,31,1.189979
Nonprivate,32,1.185552
Nonprivate,33,1.180542
Nonprivate,34,1.177621
Nonprivate,35,1.173355
Nonprivate,36,1.17049
Nonprivate,37,1.169118
Nonprivate,38,1.166563
Nonprivate,39,1.165617
Nonprivate,40,1.164583
Nonprivate,41,1.161663
Nonprivate,42,1.160819
Nonprivate,43,1.160956
Nonprivate,44,1.159456
Nonprivate,45,1.159623
Nonprivate,46,1.158532
Nonprivate,47,1.159293
Nonprivate,48,1.156869
Nonprivate,49,1.158088
Nonprivate,50,1.157505
Nonprivate,51,1.158544
Nonprivate,52,1.159291
Nonprivate,53,1.158504
Private,0,1.162737
Private,1,1.165017
Private,2,1.167242
Private,3,1.167954
Private,4,1.169667
Private,5,1.168808
Private,6,1.170231
Private,7,1.169953
Private,8,1.17307
Private,9,1.172139
Private,10,1.17354
Private,11,1.17179
Private,12,1.173124
Private,13,1.174747
Private,14,1.178678
Private,15,1.176883
Private,16,1.176799
Private,17,1.1784
Private,18,1.179588
Private,19,1.179369
Private,20,1.180379
Private,21,1.18264
Private,22,1.186878
Private,23,1.188885
Private,24,1.187262
Private,25,1.189154
Private,26,1.188517
Private,27,1.189172
Private,28,1.188946
Private,29,1.190001
Private,30,1.195005
Private,31,1.197182
Private,32,1.198631
Private,33,1.200798
Private,34,1.20304
Private,35,1.202654
Private,36,1.200086
Private,37,1.201414
Private,38,1.201817
Private,39,1.201208
Private,40,1.201417
Private,41,1.206938
Private,42,1.206428
Private,43,1.207162
Private,44,1.209897
Private,45,1.207305
Private,46,1.210525
Private,47,1.20933
Private,48,1.21097
Private,49,1.211846
Private,50,1.212047
Private,51,1.21303
Private,52,1.212567
Private,53,1.213516
