privacy_mode,epoch,train_mse,test_mse
Nonprivate,1,7.8991,8.1851
Nonprivate,2,7.8991,8.1851
Nonprivate,3,7.8991,8.1851
Nonprivate,4,7.8753,8.1669
Nonprivate,5,6.4683,7.0755
Nonprivate,6,3.7631,5.3412
Nonprivate,7,2.4583,4.167
Nonprivate,8,1.844,3.3848
Nonprivate,9,1.5088,2.8383
Nonprivate,10,1.3073,2.4504
Nonprivate,11,1.1778,2.1725
Nonprivate,12,1.0893,1.9646
Nonprivate,13,1.0253,1.8071
Nonprivate,14,0.9778,1.6856
Nonprivate,15,0.9409,1.5887
Nonprivate,16,0.9115,1.5121
Nonprivate,17,0.8876,1.4488
Nonprivate,18,0.8675,1.4001
Nonprivate,19,0.8501,1.3571
Nonprivate,20,0.8351,1.3221
Nonprivate,21,0.8214,1.2912
Nonprivate,22,0.809,1.267
Nonprivate,23,0.7977,1.2458
Nonprivate,24,0.787,1.2273
Nonprivate,25,0.7772,1.2111
Nonprivate,26,0.7679,1.1991
Nonprivate,27,0.759,1.1863
Nonprivate,28,0.7504,1.1761
Nonprivate,29,0.7421,1.1657
Nonprivate,30,0.7341,1.1584
Nonprivate,31,0.7264,1.1507
Nonprivate,32,0.7191,1.1459
Nonprivate,33,0.7119,1.1398
Nonprivate,34,0.7049,1.1357
Nonprivate,35,0.6981,1.1309
Nonprivate,36,0.6916,1.1274
Nonprivate,37,0.6852,1.1233
Nonprivate,38,0.6791,1.1212
Nonprivate,39,0.6733,1.1173
Nonprivate,40,0.6675,1.1145
Nonprivate,41,0.6622,1.1114
Nonprivate,42,0.6568,1.1117
Nonprivate,43,0.6516,1.112
Nonprivate,44,0.6467,1.1095
Nonprivate,45,0.6417,1.1082
Nonprivate,46,0.6372,1.1056
Nonprivate,47,0.6326,1.1058
Nonprivate,48,0.6281,1.1068
Nonprivate,49,0.6239,1.1057
Nonprivate,50,0.6199,1.105
Nonprivate,51,0.6158,1.1047
Nonprivate,52,0.6119,1.1051
Nonprivate,53,0.6081,1.1041
Nonprivate,54,0.6046,1.1052
Private,0,0.5919,1.1108
Private,1,0.5938,1.1134
Private,2,0.5945,1.1133
Private,3,0.5953,1.117
Private,4,0.5955,1.1187
Private,5,0.5957,1.1196
Private,6,0.5967,1.1259
Private,7,0.597,1.1234
Private,8,0.5967,1.1257
Private,9,0.5972,1.1275
Private,10,0.5976,1.127
Private,11,0.5972,1.1252
Private,12,0.598,1.128
Private,13,0.5981,1.1261
Private,14,0.5979,1.125
Private,15,0.5981,1.1254
Private,16,0.5982,1.1295
Private,17,0.5981,1.13
Private,18,0.598,1.1307
Private,19,0.598,1.1315
Private,20,0.5983,1.1335
Private,21,0.5987,1.1321
Private,22,0.5984,1.1321
Private,23,0.5983,1.1312
Private,24,0.5984,1.1348
Private,25,0.5985,1.1359
Private,26,0.5981,1.1363
Private,27,0.5976,1.1355
Private,28,0.597,1.1405
Private,29,0.5971,1.1377
Private,30,0.5966,1.1408
Private,31,0.5965,1.1394
Private,32,0.5963,1.1371
Private,33,0.5972,1.1397
Private,34,0.597,1.1417
Private,35,0.5968,1.1427
Private,36,0.5967,1.1439
Private,37,0.5968,1.1412
Private,38,0.5961,1.1433
Private,39,0.596,1.1451
Private,40,0.5961,1.1399
Private,41,0.5961,1.1424
Private,42,0.5961,1.141
Private,43,0.5959,1.1437
Private,44,0.5957,1.1465
Private,45,0.5953,1.1439
Private,46,0.5951,1.145
Private,47,0.595,1.1447
Private,48,0.5949,1.1466
Private,49,0.5949,1.1474
Private,50,0.5945,1.1479
Private,51,0.5946,1.1511
Private,52,0.5947,1.1532
Private,53,0.5947,1.1521
